postcode,drug_offences,non_violent_crime,violent_crime
2000,3663,36823,1369
2006,227,700,56
2007,147,1608,161
2008,173,1747,175
2009,1303,2891,233
2010,2517,12147,928
2011,1969,10770,381
2015,1402,1886,263
2016,867,6622,665
2017,664,4104,621
2018,198,1765,248
2019,118,1021,143
2020,269,2609,244
2021,1509,2215,217
2022,640,4131,286
2023,31,510,60
2024,92,1071,113
2025,85,481,64
2026,793,3903,435
2027,109,800,79
2028,331,924,81
2029,47,628,72
2030,111,732,92
2031,348,2948,312
2032,148,1396,177
2033,168,896,81
2034,289,2403,261
2035,486,4790,475
2036,380,3469,497
2037,424,4493,444
2038,53,692,85
2039,123,866,139
2040,157,2098,331
2041,36,1260,182
2042,767,5783,478
2043,53,777,116
2044,260,3693,210
2045,30,376,54
2046,105,1559,215
2047,50,997,120
2048,67,692,126
2049,87,1325,191
2050,187,1217,166
2052,14,269,38
2060,654,2501,201
2061,36,645,68
2062,6,357,79
2063,6,202,47
2064,52,845,76
2065,122,2569,266
2066,65,1669,252
2067,253,5340,329
2068,26,643,114
2069,15,511,87
2070,14,576,115
2071,16,425,69
2072,11,560,81
2073,34,633,91
2074,59,895,164
2075,51,686,139
2076,71,925,128
2077,337,7648,456
2079,21,271,44
2080,5,124,12
2081,64,507,115
2082,9,179,36
2083,21,319,35
2084,12,243,57
2085,27,429,103
2086,53,552,101
2087,21,467,83
2088,85,1601,262
2089,26,830,131
2090,45,538,103
2092,11,381,57
2093,57,1201,229
2094,3,163,22
2095,217,3926,329
2096,40,578,180
2097,59,792,109
2099,180,4549,421
2100,187,2316,295
2101,103,1341,184
2102,39,476,107
2103,52,784,168
2104,3,157,17
2105,0,278,20
2106,42,630,126
2107,34,672,120
2108,3,212,21
2109,13,198,17
2110,43,758,115
2111,58,1070,154
2112,168,2582,298
2113,95,1875,185
2114,90,1528,261
2115,70,898,144
2116,42,664,98
2117,122,1834,299
2118,101,1492,168
2119,13,580,57
2120,42,1292,154
2121,116,1877,180
2122,91,1892,212
2123,3,40,2
2125,27,596,59
2126,32,711,80
2127,697,2197,168
2128,18,374,36
2129,3,84,7
2130,51,570,95
2131,125,2598,229
2132,25,411,68
2133,36,419,54
2134,229,3935,216
2135,275,3634,220
2136,38,586,74
2137,92,1410,157
2138,67,1086,114
2139,8,37,1
2140,107,1723,236
2141,216,4614,305
2142,583,6893,532
2143,66,1379,122
2144,709,5630,454
2145,352,7919,837
2146,76,2104,311
2147,248,5745,721
2148,712,26762,1524
2150,1216,19303,991
2151,137,1852,218
2152,35,1050,95
2153,182,2877,344
2154,201,2980,247
2155,286,3583,471
2156,26,406,56
2157,11,142,17
2158,27,492,63
2159,22,276,43
2160,657,5451,467
2161,326,4098,441
2162,294,2203,211
2163,529,2610,250
2164,154,2551,313
2165,602,7326,529
2166,1109,10288,677
2167,155,5206,145
2168,923,5104,788
2170,2715,36843,1856
2171,115,1660,275
2172,1,79,12
2173,34,984,86
2174,24,1387,65
2175,18,195,22
2176,200,2560,355
2177,145,1178,152
2178,15,352,80
2179,55,1430,163
2190,206,2048,330
2191,23,289,50
2192,129,1526,163
2193,152,1440,152
2194,147,6141,222
2195,133,2133,295
2196,295,2819,322
2197,243,1454,156
2198,39,404,64
2199,161,1597,233
2200,807,13613,723
2203,108,1329,180
2204,407,4544,459
2205,277,4794,275
2206,72,797,123
2207,114,1770,208
2208,79,1237,171
2209,83,1272,169
2210,368,3505,473
2211,56,1315,158
2212,109,2646,212
2213,93,1424,175
2214,29,308,53
2216,294,3636,392
2217,257,4512,341
2218,32,957,116
2219,84,959,147
2220,223,7568,409
2221,71,830,125
2222,90,729,117
2223,78,1460,181
2224,94,906,129
2225,3,155,18
2226,48,970,100
2227,106,1271,129
2228,285,5793,307
2229,472,3766,373
2230,288,5069,423
2231,18,277,51
2232,513,7446,496
2233,167,1639,329
2234,110,1424,244
2250,1175,17800,1376
2251,89,1814,279
2256,184,5065,401
2257,153,2837,464
2258,33,742,76
2259,876,9709,1212
2260,177,1792,243
2261,1175,6564,1181
2262,191,2235,440
2263,239,4076,648
2264,146,2887,292
2265,17,353,53
2267,18,295,38
2278,22,221,81
2280,178,3248,458
2281,78,1301,217
2282,50,1019,152
2283,172,3894,401
2284,194,2112,228
2285,313,4991,631
2286,29,412,101
2287,245,4198,667
2289,224,2731,309
2290,269,4582,777
2291,395,1848,270
2292,96,1636,156
2293,86,2029,65
2294,36,275,46
2295,21,831,143
2296,27,601,99
2297,10,226,61
2298,131,2923,220
2299,78,1963,322
2300,171,3908,547
2302,75,1714,170
2303,169,4606,456
2304,125,3035,497
2305,60,1273,192
2306,111,876,258
2307,16,407,92
2308,5,604,42
2311,5,62,10
2312,22,172,29
2314,5,25,0
2315,164,1740,314
2316,75,569,135
2317,46,627,96
2318,68,974,165
2319,30,529,97
2320,758,9355,813
2321,61,1239,181
2322,225,5302,409
2323,281,6022,689
2324,399,4426,725
2325,506,5277,722
2326,81,1092,196
2327,88,1267,187
2328,11,215,32
2329,16,214,23
2330,312,3195,559
2331,1,8,0
2333,306,3092,472
2334,23,233,46
2335,38,544,65
2336,33,226,39
2337,74,861,127
2338,10,157,24
2339,21,74,6
2340,493,10445,1689
2341,27,340,53
2342,11,60,3
2343,62,666,126
2344,0,32,3
2345,3,38,7
2346,21,451,73
2347,4,250,21
2350,314,4927,871
2351,3,45,10
2352,5,234,28
2353,2,68,11
2354,49,447,37
2355,2,93,19
2356,1,18,4
2357,183,740,100
2358,11,303,45
2359,5,78,14
2360,157,3127,520
2361,2,133,17
2365,40,461,61
2369,17,307,93
2370,133,1242,227
2371,8,160,26
2372,50,812,122
2379,10,26,8
2380,92,1846,394
2381,1,122,24
2382,9,136,27
2386,0,20,2
2387,0,9,0
2388,25,486,56
2390,93,1433,190
2395,16,137,48
2396,31,133,16
2397,1,33,2
2398,4,32,2
2399,9,47,7
2400,285,4394,1117
2401,3,40,3
2402,23,254,32
2403,2,64,5
2404,9,191,20
2405,4,61,4
2406,11,235,40
2408,0,24,1
2409,68,443,123
2410,1,27,4
2411,0,5,1
2415,75,23,6
2420,20,277,48
2421,4,105,15
2422,22,476,71
2423,29,474,64
2424,4,52,12
2425,19,138,23
2426,12,76,18
2427,10,176,24
2428,324,3675,542
2429,85,876,165
2430,676,5720,926
2431,20,629,72
2439,28,283,34
2440,494,5465,1153
2441,21,430,68
2443,52,742,111
2444,649,5990,908
2445,31,335,36
2446,159,1608,251
2447,49,1335,228
2448,61,1593,261
2449,12,409,120
2450,886,9168,1249
2452,195,2054,316
2453,45,213,65
2454,91,706,105
2455,24,291,54
2456,108,1475,264
2460,483,4922,776
2462,19,187,31
2463,63,704,100
2464,57,845,100
2465,9,31,6
2466,11,196,33
2469,196,563,89
2470,373,2836,442
2471,15,232,34
2472,15,157,23
2473,21,303,31
2474,82,647,93
2475,3,34,12
2476,5,134,44
2477,66,753,131
2478,303,3583,500
2479,19,212,34
2480,1599,6852,948
2481,826,3588,356
2482,141,808,119
2483,1012,1189,159
2484,413,1747,297
2485,516,2775,325
2486,351,2868,408
2487,179,1475,179
2488,14,235,48
2489,26,401,64
2490,6,42,7
2500,1121,15754,1150
2502,262,2641,276
2505,109,2109,197
2506,131,1014,193
2508,19,467,90
2515,34,1449,114
2516,35,859,91
2517,91,1897,183
2518,155,3874,393
2519,73,1860,230
2522,4,66,9
2525,26,825,102
2526,106,1836,260
2527,109,1741,303
2528,415,2863,503
2529,164,3488,400
2530,326,3024,401
2533,30,1147,165
2534,8,218,39
2535,17,469,72
2536,330,2768,342
2537,127,1401,257
2538,25,183,38
2539,216,1642,283
2540,368,3634,675
2541,818,6565,766
2545,4,77,12
2546,125,1029,162
2548,31,561,65
2549,25,211,25
2550,124,1393,233
2551,39,645,75
2555,0,45,12
2556,18,241,43
2557,120,923,152
2558,34,714,142
2559,39,624,183
2560,1036,21209,1741
2563,6,69,6
2564,172,3099,350
2565,153,5588,375
2566,221,4332,389
2567,592,3747,437
2568,5,101,9
2569,8,103,16
2570,641,2742,459
2571,84,923,117
2572,11,208,47
2573,48,556,91
2574,40,439,62
2575,177,1372,198
2576,80,1054,210
2577,123,1405,219
2578,5,90,14
2579,25,346,43
2580,629,3565,537
2581,18,113,19
2582,241,881,129
2583,11,245,39
2584,7,21,4
2585,0,19,3
2586,9,229,40
2587,13,279,46
2588,2,29,2
2590,105,1045,144
2594,182,1878,341
2611,0,5,1
2618,3,43,8
2619,17,358,80
2620,488,4874,706
2621,29,303,61
2622,24,339,73
2623,0,47,6
2625,11,74,11
2626,14,19,3
2627,89,689,97
2628,6,104,18
2629,4,78,11
2630,79,945,153
2631,4,73,12
2632,8,142,16
2633,1,35,1
2640,799,7914,1063
2641,159,2954,496
2642,11,333,46
2643,91,222,27
2644,21,195,29
2645,1,42,7
2646,108,695,94
2647,15,296,29
2648,15,407,77
2649,1,3,6
2650,943,13182,2190
2651,18,220,48
2652,48,489,82
2653,29,291,37
2655,4,103,15
2656,3,125,17
2658,4,85,6
2659,2,67,10
2660,9,172,27
2661,0,7,1
2663,87,516,114
2665,6,149,13
2666,53,646,122
2668,8,81,9
2669,8,194,25
2671,53,413,58
2672,35,515,92
2675,23,234,31
2678,0,31,2
2680,388,4527,701
2681,11,179,24
2700,235,1115,175
2701,12,159,17
2702,6,68,9
2703,9,116,19
2705,206,1804,230
2706,16,216,36
2707,10,102,13
2710,325,1550,197
2711,153,806,144
2712,12,152,20
2713,22,273,38
2714,159,233,27
2715,32,219,44
2716,4,91,10
2717,23,507,116
2720,127,1508,253
2721,0,19,6
2722,48,558,47
2725,2,24,5
2726,0,30,5
2727,9,52,6
2729,29,199,17
2730,11,130,22
2731,140,662,102
2732,12,126,19
2733,15,40,8
2734,2,44,6
2735,3,11,2
2736,0,50,3
2737,21,99,15
2738,29,128,13
2739,29,230,27
2745,43,1767,266
2747,596,7775,987
2748,9,179,16
2749,71,1528,356
2750,726,18237,1407
2752,8,219,34
2753,89,2326,309
2754,37,525,100
2755,4,60,3
2756,289,5453,575
2757,0,36,8
2758,11,277,62
2759,70,1755,315
2760,441,15761,1006
2761,99,2981,478
2762,42,1211,116
2763,103,2461,293
2765,208,4263,401
2766,115,3339,352
2767,132,3340,611
2768,95,1415,175
2769,15,562,68
2770,1231,28761,2734
2773,32,329,63
2774,66,933,200
2775,70,179,29
2776,18,240,37
2777,81,1191,190
2778,13,154,30
2779,16,314,190
2780,170,2274,461
2782,26,374,114
2783,14,214,91
2784,0,71,15
2785,14,308,58
2786,12,175,38
2787,23,628,120
2790,165,2475,424
2791,1,33,4
2792,1,45,2
2793,0,74,7
2794,71,1702,333
2795,514,6410,1069
2797,0,35,3
2798,4,117,16
2799,52,564,87
2800,486,9039,1396
2803,0,20,6
2804,7,312,50
2805,0,24,1
2806,5,168,30
2807,0,33,10
2808,0,29,5
2809,0,9,5
2810,9,233,25
2817,0,14,3
2818,1,70,12
2820,166,2703,472
2821,41,1683,219
2822,3,46,6
2823,10,282,28
2824,21,666,117
2825,42,471,67
2826,2,33,2
2827,85,970,117
2828,16,243,36
2829,113,1789,245
2830,773,12833,2182
2831,11,327,55
2832,75,1438,234
2833,4,208,25
2834,82,785,96
2835,37,891,163
2836,17,725,106
2838,0,55,5
2839,46,882,120
2840,93,2193,360
2842,13,98,9
2843,13,171,33
2844,11,155,29
2845,14,209,28
2846,2,32,5
2847,10,257,38
2848,14,220,42
2849,9,118,18
2850,630,2729,480
2852,56,445,89
2864,0,52,2
2865,0,79,4
2866,12,263,30
2867,0,59,5
2868,1,50,6
2869,5,290,67
2870,227,1992,326
2871,150,1971,305
2873,2,62,13
2874,1,74,8
2875,6,116,12
2876,2,55,9
2877,27,873,180
2878,3,77,10
2879,2,104,11
2880,421,4457,727
2898,18,46,4
3644,21,143,19
3691,0,17,2
3707,0,0,0
4375,0,1,0
4377,0,0,0
4380,0,0,0
4383,8,14,0
4385,0,0,0
